name,url
Ethereum-Smart-Contract-Development,https://github.com/PacktPublishing/Ethereum-Smart-Contract-Development
main-RBTC-contract,https://github.com/money-on-chain/main-RBTC-contract
bet-center,https://github.com/OriginSport/bet-center
idle-contracts,https://github.com/bugduino/idle-contracts
RingCTToken,https://github.com/solidblu1992/RingCTToken
document-store,https://github.com/Open-Attestation/document-store
xclaim-sol,https://github.com/crossclaim/xclaim-sol
erc20,https://github.com/dapphub/erc20
ds-vault,https://github.com/dapphub/ds-vault
primas-contracts,https://github.com/primasio/primas-contracts
protocol,https://github.com/DexyProject/protocol
account-contracts,https://github.com/status-im/account-contracts
dnsregistrar,https://github.com/ensdomains/dnsregistrar
Mastering-Ethereum,https://github.com/PacktPublishing/Mastering-Ethereum
DecentralisedFutureFundDAO,https://github.com/bokkypoobah/DecentralisedFutureFundDAO
upala,https://github.com/upala-digital-identity/upala
BlackJack,https://github.com/JayOfemi/BlackJack
eth-ghost-sol,https://github.com/lukepark327/eth-ghost-sol
CDP-leverager,https://github.com/KentonPrescott/CDP-leverager
sol-baby-jubjub,https://github.com/yondonfu/sol-baby-jubjub
ethereum-contracts,https://github.com/s6ruby/ethereum-contracts
workshop,https://github.com/KyberNetwork/workshop
web3j-solidity-gradle-plugin,https://github.com/hyperledger-web3j/web3j-solidity-gradle-plugin
awesome-solidity,https://github.com/openblockchains/awesome-solidity
Smart-Contract-for-P2P-Energy-Trading-in-a-Blockchain-platform,https://github.com/GodwinOkwuibe/Smart-Contract-for-P2P-Energy-Trading-in-a-Blockchain-platform
ethereum-dapps-verification,https://github.com/zchcai/ethereum-dapps-verification
auction-engine,https://github.com/martinzugnoni/auction-engine
dappsys-monolithic,https://github.com/dapphub/dappsys-monolithic
golem-contracts,https://github.com/golemfactory/golem-contracts
Cold-staking,https://github.com/EthereumCommonwealth/Cold-staking
contracts,https://github.com/cryptocopycats/contracts
osm,https://github.com/makerdao/osm
dubiex,https://github.com/nionis/dubiex
exchange-proxy,https://github.com/balancer/exchange-proxy
lucidity-plasma,https://github.com/luciditytech/lucidity-plasma
solidity-A-to-Z,https://github.com/solidity-korea/solidity-A-to-Z
knowledge,https://github.com/azappella/knowledge
Recollections,https://github.com/andytudhope/Recollections
smashing-smart-contracts-workshop,https://github.com/Consensys/smashing-smart-contracts-workshop
smart-contracts,https://github.com/dragonglasscom/smart-contracts
provable-starter-kit,https://github.com/provable-things/provable-starter-kit
MyBit-Network.tech,https://github.com/MyBitFoundation/MyBit-Network.tech
truffle-starter,https://github.com/provable-things/truffle-starter
DexNS,https://github.com/EthereumCommonwealth/DexNS
bionic_event_dapp,https://github.com/Mikearaya/bionic_event_dapp
erc721-example,https://github.com/fulldecent/erc721-example
market-contracts,https://github.com/evolutionlandorg/market-contracts
storydao,https://github.com/bitfalls/storydao
simple-tcr,https://github.com/gautamdhameja/simple-tcr
medianizer,https://github.com/makerdao/medianizer
USDQ,https://github.com/Platinumengineering/USDQ
milky-way,https://github.com/convergentcx/milky-way
common-contract-deps,https://github.com/Giveth/common-contract-deps
oasis-direct-proxy,https://github.com/daifoundation/oasis-direct-proxy
ethereum,https://github.com/solidblu1992/ethereum
ERC223Token,https://github.com/Dexaran/ERC223Token
RealEstateToken,https://github.com/alcueca/RealEstateToken
token-contracts,https://github.com/evolutionlandorg/token-contracts
ds-note,https://github.com/dapphub/ds-note
sysethereum-contracts,https://github.com/syscoin/sysethereum-contracts
crowdsale,https://github.com/stormxio/crowdsale
RBAC-SC,https://github.com/jpmcruz/RBAC-SC
ds-roles,https://github.com/dapphub/ds-roles
private-chain,https://github.com/ahester57/private-chain
esm,https://github.com/makerdao/esm
yogatoken,https://github.com/Giveth/yogatoken
solidity-playground,https://github.com/willjgriff/solidity-playground
solidity-fuzzing-corpus,https://github.com/ethereum/solidity-fuzzing-corpus
ERC20_Token_Types,https://github.com/halls7588/ERC20_Token_Types
london-ethereum-codeup,https://github.com/makoto/london-ethereum-codeup
etherswing,https://github.com/samajammin/etherswing
dapp-possiblities,https://github.com/timqian/dapp-possiblities
Supply-Chain-Using-Blockchain,https://github.com/Swap76/Supply-Chain-Using-Blockchain
ap-monorepo,https://github.com/atpar/ap-monorepo
IKB,https://github.com/mitchellfchan/IKB
hmt-token,https://github.com/humanprotocol/hmt-token
CrowdBC,https://github.com/lim60/CrowdBC
contract,https://github.com/FirmaChain/contract
median,https://github.com/makerdao/median
zb_game_mode,https://github.com/loomnetwork/zb_game_mode
fantastic12-contracts,https://github.com/f12network/fantastic12-contracts
optimistic-zkdai,https://github.com/atvanguard/optimistic-zkdai
HurricaneGuard,https://github.com/etherisc-legacy/HurricaneGuard
erc677,https://github.com/rsksmart/erc677
blake2-solidity,https://github.com/axic/blake2-solidity
meirl,https://github.com/XLNT/meirl
nightfall-box,https://github.com/truffle-box/nightfall-box
realitio-contracts,https://github.com/realitio/realitio-contracts
TrustlessUpgrades,https://github.com/rob-Hitchens/TrustlessUpgrades
sellout-dao,https://github.com/nanexcool/sellout-dao
land,https://github.com/evolutionlandorg/land
proxy-registry,https://github.com/makerdao/proxy-registry
bep3-smartcontracts,https://github.com/bnb-chain/bep3-smartcontracts
court,https://github.com/ensdomains/court
ds-value,https://github.com/dapphub/ds-value
lottery,https://github.com/berkerol/lottery
VIDT-Datalink,https://github.com/VIDT-DAO/VIDT-Datalink
deveryjs,https://github.com/devery/deveryjs
lending-proxy,https://github.com/lbertenasco/lending-proxy
proof-of-existence-exercise,https://github.com/ConsenSys-Academy/proof-of-existence-exercise
thor-builtins,https://github.com/vechain/thor-builtins
token,https://github.com/airbloc/token
ethinitium,https://github.com/Dev43/ethinitium
ethernaut-ctf,https://github.com/tinchoabbate/ethernaut-ctf
solidity-contracts,https://github.com/veox/solidity-contracts
Audits,https://github.com/authio-ethereum/Audits
codestars_blockchain_course,https://github.com/tomw1808/codestars_blockchain_course
My-CTF-Challenges,https://github.com/aadityapurani/My-CTF-Challenges
blacklist,https://github.com/ensdomains/blacklist
ethpm.js,https://github.com/ethpm/ethpm.js
token,https://github.com/relevant-community/token
record,https://github.com/manxiaqu/record
contracts,https://github.com/thehubbleproject/contracts
arbitrable-proxy-contracts,https://github.com/kleros/arbitrable-proxy-contracts
momocode,https://github.com/mroth/momocode
tcr,https://github.com/kleros/tcr
STASIS-EURS-token-smart-contract,https://github.com/STASISNET/STASIS-EURS-token-smart-contract
cryptokitties-xdai-demo,https://github.com/omni/cryptokitties-xdai-demo
testnet-token-contracts,https://github.com/maticnetwork/testnet-token-contracts
lava-wallet,https://github.com/ethereumdegen/lava-wallet
contracts,https://github.com/wildcards-world/contracts
Solythesis,https://github.com/aoli-al/Solythesis
solidity-design-patterns,https://github.com/yamarkz/solidity-design-patterns
mix-item-store,https://github.com/acuity-network/mix-item-store
plasma-cash,https://github.com/L4ventures/plasma-cash
token-faucet,https://github.com/makerdao/token-faucet
debug-solidity,https://github.com/kern/debug-solidity
udacity-blockchain-developer-nanodegree,https://github.com/kartikeybhardwaj/udacity-blockchain-developer-nanodegree
solidity-treemap,https://github.com/saurfang/solidity-treemap
actus-solidity,https://github.com/atpar/actus-solidity
optimistic-dnssec,https://github.com/ensdomains/optimistic-dnssec
SecurityToken,https://github.com/bokkypoobah/SecurityToken
EVMBridge,https://github.com/mineables/EVMBridge
backend,https://github.com/All-Aboard/backend
privacy-sc,https://github.com/BuildOnViction/privacy-sc
BEARROWING,https://github.com/1inch/BEARROWING
contracts,https://github.com/measurabledatatoken/contracts
sheetcoin,https://github.com/okwme/sheetcoin
contractz,https://github.com/PaulRBerg/contractz
swaps,https://github.com/summa-tx/swaps
